Alarm Type,Alarm Severity,Alarm Category
OTS_LOS,Critical,Communication alarm
OTS_BDI,Warning,Communication alarm
OTS_PMI,Critical,Communication alarm
OMS_SSF,Warning,Communication alarm
OMS_BDI,Warning,Communication alarm
OCh_SSF,Warning,Communication alarm
MUT_LOS,Critical,Communication alarm
OTS_LOS_P,Critical,Communication alarm
OTS_LOS_O,Critical,Communication alarm
OTS_BDI_P,Warning,Communication alarm
OTS_BDI_O,Warning,Communication alarm
OMS_SSF_P,Warning,Communication alarm
OMS_SSF_O,Warning,Communication alarm
OMS_BDI_P,Warning,Communication alarm
OMS_BDI_O,Warning,Communication alarm
OCh_SSF_P,Warning,Communication alarm
OCh_SSF_O,Warning,Communication alarm
A1,Warning,Communication alarm
A2,Warning,Communication alarm
A3,Warning,Communication alarm
A4,Warning,Communication alarm
A5,Warning,Communication alarm
A6,Warning,Communication alarm
A7,Warning,Communication alarm
A8,Warning,Communication alarm
A9,Warning,Communication alarm
A11,Warning,Communication alarm
OCh_LOS_P,Critical,Communication alarm
OMS_LOS_P,Critical,Communication alarm
C1,Warning,Communication alarm
C2,Warning,Communication alarm
C3,Warning,Communication alarm
C11,Warning,Communication alarm
B1,Warning,Communication alarm
B2,Warning,Communication alarm
B3,Warning,Communication alarm
